customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
29,David Benson,calebrussell@example.net,Lao People's Democratic Republic,2017-12-04,Standard,11157.72
30,Daniel Fisher,gateskathy@example.com,Lesotho,2023-01-28,Standard,43906.38
31,Guy Molina,vmedina@example.net,South Georgia and the South Sandwich Islands,2018-09-13,Standard,11642.75
32,Connie Robinson,ytucker@example.com,Paraguay,2017-10-03,Standard,42841.77
33,Jennifer Martin,ncalhoun@example.net,Anguilla,2022-09-06,Standard,49181.95
34,Leslie Alvarado,dayderek@example.com,Cocos (Keeling) Islands,2020-06-24,Standard,57311.21
35,James Lewis,matthew64@example.com,El Salvador,2020-07-02,Basic,48216.66
36,Julie Curry,cookemichael@example.net,Bangladesh,2018-12-13,Standard,55024.72
37,Marissa Webster,jamessmith@example.org,Dominican Republic,2020-06-23,Standard,54093.44
38,Michael Elliott,stevenscott@example.com,Chad,2022-03-13,Standard,66730.0
39,Tracey Higgins,tamirodriguez@example.org,Vanuatu,2024-05-29,Basic,39414.85
40,Michael Rubio,mdavid@example.org,Nauru,2022-06-30,Basic,70902.81
41,Lori Garcia,melissa91@example.net,Slovenia,2016-07-17,Premium,727.19
42,Joseph Stanley,huntermatthew@example.com,Swaziland,2022-12-06,Basic,17549.65
43,Jeffrey Cox PhD,bzimmerman@example.org,Saint Martin,2020-02-11,Standard,16599.3
44,Marie Gilbert,umarshall@example.net,Ethiopia,2022-06-24,Standard,46433.18
45,David Michael,nicole37@example.net,New Zealand,2022-05-24,Basic,68478.17
46,Gabrielle Snyder,hunter35@example.com,Guam,2021-03-09,Standard,744.27
47,Kyle Beard,blackjames@example.org,Saint Helena,2023-02-06,Standard,1500.28
48,Justin Allen,fbrewer@example.com,Somalia,2015-03-12,Standard,73316.58
49,Edward Sullivan,kevinperkins@example.com,Micronesia,2019-10-30,Standard,52414.97
50,Jessica Reese,michael74@example.com,El Salvador,2016-03-14,Basic,68255.56
51,Nathan Stewart,jamesrodgers@example.com,Saint Kitts and Nevis,2017-09-14,Basic,39447.81
52,Paige Carlson,wallkenneth@example.com,Christmas Island,2024-02-22,Standard,39602.58
53,Michael Martinez,mccannangela@example.net,Western Sahara,2015-11-20,Standard,59671.49
54,Sean Henry,andrewstaylor@example.com,Guam,2021-05-03,Standard,30600.55
55,Anthony Everett,ewilson@example.com,Liechtenstein,2018-05-13,Standard,52368.41
56,Mark Brown,lisaavery@example.org,Egypt,2022-05-01,Standard,63628.07
57,Phillip Obrien,kimberlyjames@example.com,French Southern Territories,2015-05-10,Basic,48829.61
58,Wanda Torres,lynchjody@example.org,Niue,2021-03-13,Premium,28599.99
59,Matthew Moore,andreamoore@example.com,Korea,2022-11-18,Standard,47846.92
60,Julie Johnson,jasmine71@example.net,Djibouti,2019-11-13,Standard,37614.41
61,Rachel Weber,ronaldstephens@example.net,Canada,2025-12-17,Standard,25012.48
62,Samantha Jones,lauralarson@example.net,Uruguay,2020-12-03,Basic,7378.3
63,Caleb Barker,gbender@example.net,Lithuania,2025-02-08,Basic,17425.05
64,Kyle Preston,cassandra01@example.org,Peru,2020-05-01,Basic,66594.68
65,Laura Sampson,barbara27@example.net,Pakistan,2022-09-04,Standard,69330.91
66,Donald Shea,fwalters@example.org,Latvia,2021-04-27,Basic,67473.55
67,Gary Santiago,marksteele@example.com,Panama,2024-07-15,Standard,13656.75
68,Robin Pierce,qmiller@example.com,Brazil,2021-08-01,Standard,72119.82
69,Jennifer Robertson,sandovalamy@example.com,Austria,2024-03-16,Premium,61596.63
70,Isaiah Avila,nwolf@example.com,Mexico,2016-10-27,Standard,6001.08
71,Dwayne Gilmore,omartinez@example.net,South Georgia and the South Sandwich Islands,2024-07-11,Standard,42610.52
72,Christopher Pierce,hdavis@example.com,Yemen,2018-09-20,Standard,67265.3
73,Ronnie Jimenez,william46@example.com,Latvia,2023-11-12,Standard,55545.95
74,Juan Reyes,michellehill@example.com,Guam,2020-08-13,Basic,54381.23
75,Katie Hoover,jessica99@example.net,Liechtenstein,2016-02-05,Basic,26103.0
76,Jill Washington,andrea86@example.com,Venezuela,2018-10-27,Standard,62940.93
77,Colin Terry,xhall@example.com,Aruba,2021-09-05,Standard,46136.43
78,John Mcintyre,qhughes@example.net,Canada,2015-05-02,Standard,58073.23
79,Andrew Shaw MD,sawyerscott@example.net,United States Minor Outlying Islands,2020-01-20,Standard,58820.22
80,Nathan Ortiz,charlesharrington@example.com,Guadeloupe,2025-07-21,Standard,26846.89
81,Jennifer Miller,melissa86@example.com,Niue,2021-07-27,Standard,14133.9
82,Olivia Brennan,williamsonjimmy@example.net,Uruguay,2021-12-08,Standard,6655.64
83,Darren Davis,hodgesjane@example.org,Kenya,2015-10-29,Standard,18672.12
84,Elijah Johnson,laura45@example.com,Jersey,2022-12-25,Premium,11778.02
85,Joseph Knight,georgemiller@example.com,Niger,2019-05-15,Basic,11782.2
86,Kathleen Aguilar,stevenking@example.com,Papua New Guinea,2015-01-22,Standard,8214.68
87,Robert Santana,charleslandry@example.net,French Southern Territories,2023-07-16,Basic,33494.01
88,Jessica Wright,james67@example.org,Dominica,2017-02-06,Standard,10154.9
89,Ian Phillips,andrew64@example.org,Mongolia,2020-09-29,Standard,41884.63
90,Paula Beltran,swall@example.org,New Caledonia,2018-12-20,Standard,2213.08
91,Colleen Lee,erica21@example.net,Oman,2023-10-19,Standard,44870.11
92,Richard Johnson,jessica14@example.com,San Marino,2018-04-10,Standard,29046.53
93,Curtis Buchanan,alyssa42@example.com,United States Minor Outlying Islands,2023-02-16,Standard,58492.89
94,Karen Drake,linda71@example.org,Saudi Arabia,2025-12-20,Basic,67914.27
95,Shannon Ramsey,zcoffey@example.net,Haiti,2022-09-08,Standard,39202.56
96,James Baker,gibsonemily@example.net,Estonia,2018-05-18,Standard,10628.29
97,Samantha Bentley,leonardthomas@example.net,Turks and Caicos Islands,2016-11-15,Standard,11158.63
98,Erin Bishop,reidsteven@example.net,Gabon,2020-06-06,Standard,31727.4
99,Audrey Williams,torrestravis@example.org,Dominica,2025-08-03,Basic,27244.09
100,Brandy Chavez,umatthews@example.org,Turks and Caicos Islands,2021-08-29,Standard,46971.27
101,Brett Burns,rcrosby@example.org,Portugal,2016-07-08,Standard,34475.16
102,Jeremy Sampson,cory58@example.net,Guinea-Bissau,2018-09-22,Standard,71174.55
103,Donald Donaldson,ndavis@example.net,Northern Mariana Islands,2024-09-01,Basic,28646.77
104,Alison Buchanan,vanessabuchanan@example.org,Bangladesh,2024-02-23,Standard,25271.53
105,Kristen Willis,markhernandez@example.net,Afghanistan,2021-08-31,Basic,48915.01
106,William Huerta,lauren10@example.org,American Samoa,2025-08-16,Premium,24219.72
107,Richard Chapman,thompsonbrian@example.net,Italy,2016-12-28,Standard,36055.98
108,Nichole Alvarez,william17@example.net,Cyprus,2018-04-08,Basic,72662.21
109,Amanda Logan,stephen00@example.com,Tanzania,2025-11-07,Basic,47559.46
110,Michael Henry,fjones@example.com,New Caledonia,2019-03-21,Standard,18371.22
111,Cameron Weber,oscar98@example.com,Korea,2019-02-04,Standard,58993.52
112,Jessica Mcguire,farrelldebra@example.net,Saint Helena,2021-08-22,Premium,42397.83
113,Jessica Beasley,dmorgan@example.com,Israel,2023-08-11,Basic,13699.56
114,Emily Edwards,nicholas27@example.org,Bermuda,2020-03-05,Standard,71487.09
115,Anna Davis,lisa80@example.net,Zimbabwe,2023-12-12,Basic,15921.22
116,Erin Martinez,morgan60@example.com,Netherlands Antilles,2024-03-08,Standard,52039.44
117,Brian Romero,dianewalker@example.org,Guernsey,2022-07-19,Basic,59679.66
118,Holly Farmer,lindsaybruce@example.net,Nicaragua,2017-09-18,Standard,47591.87
119,Kristin Lynch,anthony44@example.com,Guernsey,2019-09-30,Standard,11772.21
120,Sergio Knight,vjones@example.net,Antarctica (the territory South of 60 deg S),2021-09-15,Basic,5778.89
121,Joseph Bennett,xpeterson@example.com,Saint Helena,2020-09-06,Standard,30210.18
122,Todd Carlson,moorekaren@example.org,Peru,2019-09-10,Basic,65255.12
123,Jeremy Coleman,nperry@example.net,Brazil,2019-01-12,Standard,59356.39
124,Brian Gregory,trose@example.org,Cyprus,2021-08-29,Basic,60969.2
125,Kyle Smith,sierra24@example.com,Greece,2023-08-16,Standard,6602.4
126,Jonathan Jordan,omarpadilla@example.net,Monaco,2016-11-12,Standard,49935.87
127,Renee Jones,grahamsteve@example.org,Tokelau,2022-03-27,Standard,3561.18
128,Jeffrey Sullivan,zroberts@example.org,Greece,2023-06-10,Standard,30121.43
129,Travis Stevens,christopher13@example.com,Namibia,2016-03-09,Standard,59768.27
130,Blake Harrell,jeffrey21@example.net,North Macedonia,2020-09-22,Premium,19590.69
131,Jordan Bullock,michael23@example.org,Cameroon,2022-09-17,Basic,41960.01
132,Christopher Hernandez,thompsonkendra@example.com,Kyrgyz Republic,2019-05-22,Standard,33571.95
133,Olivia Cole,michelle52@example.com,Bangladesh,2022-09-29,Standard,51046.77
134,Mark Hogan,bellcharles@example.com,Korea,2015-04-11,Standard,26036.31
135,Jacob Mitchell,gilbertwilliam@example.com,Mozambique,2025-04-28,Standard,22333.56
136,Rebecca Huang,kstout@example.net,Comoros,2025-07-20,Basic,8926.18
137,John Hernandez,hayeslisa@example.com,Rwanda,2018-11-06,Basic,26287.57
138,Matthew Williams,hritter@example.net,New Zealand,2020-06-01,Standard,15713.33
139,Jake Campbell,rschroeder@example.net,Austria,2023-02-05,Standard,7547.32
140,Maria Jones,grantpaul@example.com,Saint Kitts and Nevis,2018-05-14,Standard,24088.48
141,Tracey Morrison,mathewaguilar@example.org,United States Virgin Islands,2015-04-03,Premium,53380.73
142,Walter Hale,tanderson@example.org,Georgia,2022-08-05,Basic,48685.75
143,Maria Murphy,elizabethcalderon@example.net,Poland,2023-04-22,Basic,69761.7
144,Anna Santiago,andrew42@example.org,Guam,2016-10-17,Standard,13290.38
145,Katelyn Perez,ericphillips@example.org,Madagascar,2020-03-07,Standard,32121.11
146,Sandy Stephenson,stanleynancy@example.net,Bulgaria,2017-01-25,Standard,30527.3
147,Brittany White,jenniferwilliams@example.com,Philippines,2019-06-09,Standard,49383.77
148,Tracy Bishop,pyoung@example.com,Sudan,2017-03-19,Premium,46154.49
149,Stephanie Lee,smurray@example.com,Macao,2015-01-19,Standard,32359.07
150,Tracy Montoya,moniquewilliams@example.com,Tunisia,2023-06-09,Basic,15632.39
151,Timothy Dawson,mitchellkathryn@example.com,Korea,2021-06-22,Basic,59751.6
152,Brittany Kim,lisawilkerson@example.org,Israel,2017-02-04,Premium,65430.45
153,Jonathan Young,brooksanthony@example.org,Taiwan,2016-04-11,Standard,14981.3
154,Gabriela Thomas,mitchellmaria@example.net,Switzerland,2020-12-01,Standard,64732.08
155,Michael West,bullockandrew@example.org,Syrian Arab Republic,2019-05-11,Basic,23676.96
156,Todd Lynch,srodriguez@example.org,Gabon,2018-11-26,Standard,44128.6
157,David Fowler,fbrown@example.net,Mauritania,2016-12-07,Standard,34475.08
158,Jose Allen,kellysmith@example.com,Dominican Republic,2018-05-03,Basic,53022.63
159,Chelsea Barnett,carlos88@example.net,Solomon Islands,2022-07-15,Basic,44365.09
160,Kristen Myers DDS,qzavala@example.net,Andorra,2018-06-04,Premium,9060.16
161,Austin Allen,ingramjill@example.com,Burkina Faso,2016-08-02,Premium,28154.63
162,Joshua Li,mariacohen@example.net,Lesotho,2016-07-18,Standard,31513.37
163,Robin Brown,mjohnson@example.org,Somalia,2020-06-16,Standard,31872.15
164,Andrew Mahoney,ihays@example.com,El Salvador,2022-03-27,Standard,52084.11
165,Matthew Mitchell,glennmartin@example.org,South Georgia and the South Sandwich Islands,2016-11-14,Basic,13199.3
166,Steve Paul,lmorgan@example.com,Puerto Rico,2018-07-12,Standard,10737.17
167,Tim Stone PhD,mmiller@example.org,Mayotte,2024-09-15,Basic,46550.9
168,Brian Murphy,kirk96@example.org,Portugal,2016-07-13,Standard,966.36
169,Jeremy Acosta,christina64@example.net,Somalia,2021-04-19,Standard,28949.83
170,Angela Walsh,william20@example.org,Thailand,2022-09-05,Standard,37249.0
171,Rachael Johnson,youngdeanna@example.com,Hungary,2019-12-24,Standard,53333.14
172,Amanda Hernandez,xrush@example.com,Serbia,2015-05-07,Standard,6429.63
173,Chad Richardson,debra31@example.org,Saint Pierre and Miquelon,2015-05-14,Basic,16734.58
174,Joseph Mcintyre,greenjorge@example.com,Croatia,2016-11-19,Standard,40436.24
175,Donna Hendricks DDS,taylorcharles@example.org,United Arab Emirates,2023-08-31,Basic,42532.37
176,Yolanda Cochran,elizabeth18@example.net,French Guiana,2016-04-08,Basic,41342.03
177,Sarah Joseph,laurahicks@example.org,Cook Islands,2021-02-02,Standard,20274.7
178,Cynthia Snyder,angela57@example.net,Bulgaria,2024-03-23,Basic,27672.92
179,Angelica Parker,xfox@example.com,Swaziland,2019-12-13,Basic,57060.31
180,Beth Stewart,coleerin@example.com,Brunei Darussalam,2016-02-24,Standard,74235.74
181,Penny Bowman,katrinaanderson@example.net,United States Minor Outlying Islands,2017-10-10,Basic,49111.96
182,Sandra Holmes,fred53@example.com,Yemen,2020-01-17,Standard,74948.62
183,Stephanie Singleton,james84@example.org,Niue,2015-12-23,Standard,64699.42
184,Joseph Shaw,brittanycarpenter@example.org,Palestinian Territory,2023-09-12,Standard,74548.34
185,Stephanie Morgan,bryananthony@example.org,Yemen,2023-04-10,Basic,15938.39
186,Laura Curtis,bmontgomery@example.com,Tuvalu,2022-12-21,Standard,26459.66
187,Donna Frye,zsanchez@example.net,Iraq,2021-11-28,Standard,32255.49
188,Benjamin Brown,dperry@example.org,Guam,2017-04-27,Premium,15694.82
189,Emily Higgins,theresa25@example.net,Monaco,2020-12-20,Basic,42863.06
190,David Martinez,gwright@example.org,French Guiana,2018-08-18,Standard,40522.95
191,Sharon Barnes,lisapeck@example.net,Germany,2021-06-03,Basic,22124.44
192,Christopher Ferrell,tjimenez@example.com,Angola,2025-02-04,Standard,64386.76
193,James Bryant,jasongomez@example.org,Finland,2025-10-18,Standard,7368.08
194,Stephen Pena MD,booneryan@example.com,Saint Lucia,2015-08-31,Basic,31016.82
195,Jamie Williams,hudsonjames@example.net,France,2016-06-03,Basic,65061.81
196,Jonathan Duran,marcia99@example.org,Brunei Darussalam,2016-08-22,Basic,10168.64
197,Jennifer Norton,angela52@example.org,Netherlands,2023-07-16,Basic,62179.01
198,Kathryn Williams,jenniferbrock@example.net,Korea,2016-08-05,Basic,29604.38
199,Steven Taylor,francisco94@example.net,Guadeloupe,2019-08-24,Standard,20336.61
200,Katrina Burns,thomas05@example.com,Peru,2023-11-29,Standard,5894.84
201,Jason Parker,carlsonjoseph@example.net,Slovenia,2020-10-12,Basic,7208.84
202,Laura Perez,silvageorge@example.net,Saint Helena,2024-11-02,Basic,52179.1
203,Sarah Hernandez,anthonyvaughan@example.org,Comoros,2018-09-02,Standard,71281.49
204,Erik Hernandez,roberthampton@example.com,Tunisia,2024-07-01,Standard,65200.86
205,Monica Thornton,annbolton@example.com,Malta,2020-02-21,Basic,54887.16
206,Tyler Stevens,amy49@example.com,Congo,2024-07-14,Standard,52372.35
207,Diana Evans,kellie37@example.com,Lesotho,2017-06-11,Premium,40198.23
208,Timothy Pope,keith98@example.com,Ukraine,2020-07-19,Basic,61907.36
209,Sabrina Blevins,kellyroberts@example.net,Belgium,2018-10-15,Standard,62168.69
210,Jeremy Scott,ilewis@example.com,Venezuela,2024-07-23,Standard,10011.92
211,Denise Rodriguez,johnsantiago@example.net,Czech Republic,2022-08-27,Standard,25944.54
212,Amy Gutierrez,xgarcia@example.org,Albania,2022-01-08,Basic,3684.23
213,Vanessa Moore,mwoods@example.com,Gibraltar,2016-05-23,Basic,34603.74
214,Anthony Mack,amandasharp@example.org,United States Minor Outlying Islands,2020-02-13,Basic,12059.27
215,Jennifer Monroe,osbornrandy@example.com,Colombia,2017-04-08,Premium,71862.87
216,Tonya Howe,smithashley@example.org,Vanuatu,2024-11-22,Basic,68228.19
217,Mrs. Virginia Daniels,ismall@example.net,Lao People's Democratic Republic,2025-06-17,Standard,12133.57
218,Robert Rivera,twong@example.org,American Samoa,2019-01-16,Basic,7227.16
219,Rachel Bradley,gregorychase@example.com,Sweden,2025-02-18,Standard,28045.32
220,Garrett Morales,lopezdonald@example.com,Vietnam,2022-01-06,Standard,4121.1
221,Dean Young,stephanie49@example.net,Montserrat,2017-08-17,Standard,52533.24
222,Matthew Schwartz,contrerassteven@example.org,Iraq,2016-01-25,Standard,7067.14
223,Tammy Barron,hannah45@example.net,Cyprus,2016-06-27,Premium,35891.3
224,Casey Hernandez,robert87@example.net,Spain,2019-12-28,Standard,39078.46
225,Colleen Wright,foxallison@example.com,Belarus,2024-02-29,Premium,52245.88
226,Ashley Poole,ashleyhernandez@example.com,Timor-Leste,2022-10-13,Premium,64560.44
227,Audrey Harris,gdavis@example.com,Sudan,2019-04-19,Premium,5544.42
228,Carlos Perry,hansenemily@example.com,Saint Kitts and Nevis,2016-02-27,Premium,60495.27
229,David Smith,bethwilliams@example.com,Reunion,2016-07-15,Standard,66103.93
230,Zachary Michael,andersenthomas@example.com,Ireland,2024-10-21,Standard,61049.25
231,Chad May,ybrooks@example.com,Trinidad and Tobago,2016-08-08,Premium,74472.28
232,Jamie Miller,desireebailey@example.org,Mauritania,2021-11-04,Premium,42356.02
233,Cameron Irwin,avilatiffany@example.com,Peru,2023-02-07,Standard,33147.43
234,Jessica Gray,johnreed@example.com,Comoros,2025-04-25,Standard,56183.1
235,Molly Rodriguez,bmendez@example.org,Costa Rica,2024-08-23,Standard,51570.82
236,Kirk Griffin,sanchezbradley@example.com,Djibouti,2016-07-27,Standard,67270.32
237,Nicole Parsons,williamroberts@example.net,Morocco,2019-04-22,Basic,44320.65
238,Kyle Chambers,joel28@example.org,Isle of Man,2023-11-15,Standard,32346.81
239,Antonio Fry,conniesimmons@example.com,Australia,2015-12-12,Premium,20953.33
240,Teresa Powers,heather62@example.com,Honduras,2023-02-01,Standard,45174.68
241,Joshua Allen,kevinzimmerman@example.com,United States Virgin Islands,2022-09-29,Standard,58477.98
242,Jason Butler,paulscott@example.com,Oman,2024-10-27,Premium,63568.48
243,Jerry Watson,brettbennett@example.net,Netherlands,2020-09-18,Standard,38951.75
244,Benjamin Ballard,timothybooth@example.com,Gabon,2022-03-31,Standard,29533.39
245,Alexis Giles,burgesskaren@example.org,Qatar,2025-09-15,Premium,67368.96
246,Christine Herman,kimberly67@example.net,Pakistan,2017-09-14,Standard,29094.95
247,Dennis Hunt,zowens@example.net,Latvia,2020-12-03,Standard,44646.25
248,Erica Harris,robert93@example.net,Cameroon,2019-01-19,Basic,1152.01
249,Juan Silva,mphillips@example.com,Denmark,2024-08-26,Basic,10115.72
250,Roy Porter,jonathan77@example.com,Chile,2021-02-15,Basic,31709.55
251,Heather Taylor,iwhite@example.net,Bahamas,2025-09-14,Standard,57263.76
252,Sara Jones,duranrobert@example.net,Djibouti,2021-08-02,Basic,5706.14
253,Chris Robinson,nbrooks@example.net,Papua New Guinea,2015-06-13,Premium,19848.35
254,Susan Hopkins,smithandrea@example.org,Andorra,2019-06-19,Basic,71163.83
255,Denise Madden,shawheidi@example.com,Sri Lanka,2020-08-14,Standard,47235.66
256,Cassie Hull,johnharvey@example.com,Suriname,2019-07-06,Basic,31912.25
257,Robert Miller,pstevens@example.net,Czech Republic,2021-11-28,Premium,40358.22
258,Ronald Miller,davisnicholas@example.net,Lebanon,2015-11-20,Standard,6498.88
259,Adam Jackson,pbruce@example.com,Mongolia,2024-01-23,Standard,15439.01
260,Valerie Jacobson,hallrachel@example.net,Tuvalu,2021-07-30,Standard,24674.58
261,Denise Glass,rachel90@example.org,Vanuatu,2022-08-21,Standard,62630.85
262,Alexis Clark,karenmarquez@example.com,Vanuatu,2019-11-27,Standard,23435.17
263,Christopher Allen,irhodes@example.com,Hungary,2015-08-26,Basic,63523.49
264,Brenda Hinton,masonterri@example.org,Bolivia,2016-04-20,Standard,69365.92
265,Ryan Peterson,unovak@example.org,North Macedonia,2018-06-20,Standard,45760.22
266,Willie Henry,angela66@example.org,Pitcairn Islands,2016-12-20,Standard,49439.41
267,Jamie Barton,lauren11@example.com,Cape Verde,2022-11-13,Premium,53165.57
268,Richard Moore,gstewart@example.org,Albania,2018-11-21,Premium,37356.87
269,Jill Juarez,andersonjacob@example.com,Moldova,2023-01-31,Standard,58778.29
270,Jennifer Johnson,angela99@example.com,Tonga,2023-05-30,Standard,28047.24
271,Edgar Hughes,hardyanita@example.org,Montserrat,2024-12-09,Basic,20340.15
272,Melissa Jackson,kevin72@example.org,Chad,2018-10-04,Premium,67517.33
273,Jason Washington,wardsheryl@example.net,Niue,2015-09-19,Basic,20580.55
274,Luis Ellis Jr.,rushmartin@example.net,Hong Kong,2022-01-14,Standard,73135.03
275,Erin Cook,kevinmorrison@example.net,Cook Islands,2019-01-15,Premium,34276.03
276,Christopher Sanders,kelly79@example.org,Greece,2016-11-14,Premium,64487.14
277,Robert Long,frederickjames@example.net,Cocos (Keeling) Islands,2016-02-26,Standard,19319.93
278,Krista Benton,nhahn@example.com,South Georgia and the South Sandwich Islands,2016-04-17,Basic,50640.5
279,Michael Fuentes,ichambers@example.net,Gabon,2015-06-30,Standard,38284.66
280,Matthew Espinoza,mjones@example.com,Myanmar,2015-07-08,Basic,1168.53
281,Jonathon Knapp,ystephens@example.com,Reunion,2016-09-06,Standard,28877.72
282,Kimberly Little,rodriguezjohn@example.net,Guinea,2015-05-25,Standard,72035.58
283,Lonnie Hart,vrasmussen@example.com,Botswana,2023-04-22,Standard,68567.59
284,David Dixon,seanmyers@example.net,Namibia,2017-10-13,Standard,17032.52
285,Brittany Cuevas,agarcia@example.org,Brazil,2018-01-16,Standard,54091.52
286,Monica Bailey,stanley38@example.com,Guernsey,2016-05-04,Basic,42972.31
287,Jeffrey Horton,carlos01@example.org,Thailand,2017-01-04,Standard,67670.09
288,Brian Marsh,zacharyarnold@example.com,Monaco,2015-07-08,Standard,38804.12
289,Joel Salinas,jacobsandoval@example.com,Antarctica (the territory South of 60 deg S),2020-03-20,Basic,5402.25
290,Sonya Cole,tprice@example.org,Costa Rica,2018-06-26,Basic,58071.18
291,Michael Flynn,lloydamanda@example.com,Greece,2015-02-02,Standard,41593.58
292,Brian Lambert,orose@example.com,Nepal,2023-10-19,Standard,22046.73
293,James Wilson,megan92@example.net,Romania,2020-03-15,Standard,46798.13
294,Tamara Lawrence,lawrenceallen@example.org,Cocos (Keeling) Islands,2023-08-31,Standard,72896.37
295,Charles Price,baileyhenderson@example.com,North Macedonia,2021-02-16,Basic,55001.63
296,Tamara Arias,angelaburns@example.org,Colombia,2015-01-27,Basic,18573.23
297,Jerry Brown,stephanie72@example.org,Suriname,2021-01-27,Basic,2037.29
298,Justin Delgado,acohen@example.net,Tajikistan,2024-11-02,Standard,63008.16
299,Christopher Cunningham,kellyhill@example.net,France,2023-07-06,Premium,25292.55
300,Jim Newton,hdunn@example.net,Brazil,2023-02-26,Standard,63713.2
301,Joshua Ritter,wolfscott@example.org,Jamaica,2017-09-02,Standard,15588.28
302,Ronald Potter,nancy07@example.com,Guernsey,2025-11-27,Standard,72098.58
303,Angie Grimes,rowejoel@example.net,Namibia,2016-01-17,Basic,53446.02
304,Shannon Bishop,imartin@example.org,Suriname,2024-06-25,Premium,17552.57
305,Anthony Bell,candice25@example.net,French Guiana,2019-03-06,Standard,52638.31
306,Derek Hodge,taylorkaren@example.com,Uruguay,2021-07-06,Standard,56155.48
307,Donald Rios,johndawson@example.org,Senegal,2024-03-12,Premium,10230.16
308,Jenna Thomas,courtney67@example.org,North Macedonia,2015-09-13,Standard,44494.21
309,Patricia Powell,heather57@example.com,Greece,2017-08-27,Standard,72325.32
310,Sheila Boone,simonstephen@example.net,Qatar,2025-05-21,Standard,63855.8
311,Arthur Ferguson,tammysummers@example.com,Ethiopia,2023-04-01,Basic,52629.24
312,Drew Kelley,ashleewashington@example.com,Uganda,2017-08-14,Standard,34093.65
313,Amber Garcia,ksmith@example.com,Korea,2023-09-30,Premium,15402.77
314,Tyler Harris,nicoleturner@example.com,Bermuda,2016-03-08,Basic,8395.72
315,Danielle Watson,brettgarrett@example.net,Reunion,2019-07-24,Standard,35087.62
316,Jessica Davis,smiththomas@example.org,Nauru,2023-08-22,Premium,27031.99
317,Michael Smith,lisa62@example.com,Barbados,2017-12-21,Standard,23296.0
318,Brandon Shaffer,edwardsnicole@example.org,Hong Kong,2024-01-21,Basic,7008.96
319,Nicole Anderson,caseyelliott@example.net,Pakistan,2022-10-25,Standard,62022.4
320,Gregory Lewis,samanthajensen@example.com,Tokelau,2024-08-09,Standard,16322.8
321,Steven Taylor,lawrencepatrick@example.com,Germany,2017-10-13,Standard,7068.16
322,Danielle Newman,angelagreene@example.net,Finland,2015-07-20,Basic,29869.27
323,Melissa Abbott,jamie98@example.org,San Marino,2016-12-13,Standard,19697.47
324,Matthew Bowers,troyrodriguez@example.com,Northern Mariana Islands,2020-01-27,Premium,30478.32
325,Kelsey Levine,sarah26@example.net,Italy,2016-01-23,Standard,41371.54
326,Michael Farmer,smithcarlos@example.com,Cuba,2016-07-26,Standard,60341.28
327,Antonio Mccormick,courtney86@example.com,Reunion,2023-10-04,Premium,4859.77
